Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
8,Kelso,7,Beat The Boum,10-13,Mrs Jacqueline Stephen,Jamie Hamilton,-,4,,242,4,,,   
8,Kelso,8,To Chase A Dream,10-13,Paul Collins,Mr John Dawson,114,81-22,,41,4,,3,   
8,Kelso,9,Somebody's Fortune,10-7,Miss Lucinda V Russell,Alan Doyle,-,632-,,251,5,,5,   
9,Kelso,1,Schalke,12-0,Rebecca Menzies,William Maggs,122,214-898,,12,8,v1,7,  CD 
9,Kelso,2,Hashtag Boum (FR),11-6,Ruth Jefferson,Henry Brooke,114,2321-62,,31,6,,,  CD bf
9,Kelso,3,Imaginary Dragon (FR),11-2,A M Thomson,Ryan Mania,110,P/303-2,,36,5,,,   
9,Kelso,4,Paddy The Horse,11-2,G T Bewley,Jonathon Bewley,110,1F43P-4,,48,8,,,   
9,Kelso,5,Dunnet Head,11-2,I Jardine,B S Hughes,110,142-18,,18,5,,,   bf
9,Kelso,6,Kingston Bridge,11-1,Ewan Whillans,Craig Nichol,109,4312-63,,37,5,,, C  
9,Kelso,7,Mack The Man,11-0,N W Alexander,Mr Kit Alexander,108,5/5453-6,,18,9,,5,   
9,Kelso,8,So Many Roads,10-7,D W Whillans,Sean Quinlan,101,561F-64,,36,6,,,   bf
10,Kelso,1,Cilaos Emery (FR),12-0,Mrs S Leech,Miss Roisin Leech,130,4P88-8F,,23,11,h,7,D   
10,Kelso,2,Ganapathi (FR),11-7,R Michael Smith,G Sheehan,123,540-473,,35,7,t v1,,   
10,Kelso,3,Gold Des Bois (FR),11-5,I Jardine,B S Hughes,121,546-329,,42,9,t,,  CD 
10,Kelso,4,Traprain Law (FR),11-4,Miss Lucinda V Russell,P W Wadge,120,12113-3,,55,5,t,3,D C  
10,Kelso,5,Duty Calls,10-2,Miss S E Forster,Lewis Stones,104,3416-42,,48,10,,3,  CD 
11,Kelso,1,Imperial Merlin,11-12,J J Quinn,Henry Brooke,127,112F1-5,,48,6,,,D   bf
11,Kelso,2,Young Buster,11-12,F O'Brien,Liam Harrison,127,1/614-11,,30,7,,, C  
11,Kelso,3,Overcourt,11-2,W Coltherd,Sam Coltherd,117,423/225,,30,9,,,   
11,Kelso,4,Gentleman De Mai (FR),11-0,Mrs R Dobbin,Craig Nichol,115,36225-1,,48,7,t v,, C  
11,Kelso,5,Domandlouis,10-5,Miss Lucinda V Russell,D R Fox,106,P422-42,,62,6,p,, C  
12,Kelso,1,Ip Up (FR),12-0,Jedd O'Keeffe,Craig Nichol,115,32-5313,,29,5,,,D   
12,Kelso,2,Parvos,11-6,A M Thomson,Ryan Mania,107,5323-5P,,62,6,t,,   
12,Kelso,3,Nell's Bells,11-3,D McCain Jnr,Theo Gillard,104,80/1531-,,258,7,,,   
12,Kelso,4,Atlantic Dancer,11-1,N W Alexander,Bruce Lynn,102,27121-6,,36,10,,3,  CD 
12,Kelso,5,Similar Story,11-0,W Coltherd,Sam Coltherd,101,P/2-1542,,30,5,,,   
12,Kelso,6,Line In The Sand,10-6,G T Bewley,Jonathon Bewley,93,396792,,50,5,,,   
12,Kelso,7,Prontoanita (FR),10-2,I Jardine,B S Hughes,89,246-68,,18,4,,,   
13,Kelso,1,Ballyfort,11-4,N W Alexander,Bruce Lynn,-,3F423-5,,55,5,h1,3,   
13,Kelso,2,Boot 'n' Shoe,11-4,Rebecca Menzies,Nathan Moscrop,-,24/,,696,5,,,   
13,Kelso,3,Breizh River (FR),11-4,Paul Robson,Craig Nichol,-,9-237,,43,5,,,   
13,Kelso,4,Dapper Gent,11-4,M A Barnes,Conor Rabbitt,-,5676-,,447,6,t,5,   
13,Kelso,5,Dream Boy,11-4,W Coltherd,Sam Coltherd,-,5/P1-445,,18,5,,,   
13,Kelso,6,Flying Sandpiper,11-4,Mrs Jacqueline Stephen,Jamie Hamilton,-,7-0,,48,4,,,   
13,Kelso,7,Foshan,11-4,Adam Nicol,P W Wadge,-,,,(19F),4,p,3,   
13,Kelso,8,Hazy Glen (FR),11-4,M & D Easterby,Henry Brooke,-,16,,40,4,,,D   
13,Kelso,9,Isholo Du Vivien (FR),11-4,D McCain Jnr,B S Hughes,-,P2-F14,,27,5,,,   
13,Kelso,10,Master Bricklayer,11-4,N W Alexander,Sean Quinlan,-,8-0,,18,5,,,   
13,Kelso,11,Northern Cardinal (FR),11-4,Miss Lucinda V Russell,S Mulqueen,-,3-9,,48,4,,,   
13,Kelso,12,Walk On Quest,11-4,Miss Lucinda V Russell,D R Fox,-,2-,,278,4,t1,,   
13,Kelso,13,Wolfburg,11-4,A M Thomson,Ryan Mania,-,03,,54,4,,,   
13,Kelso,14,Miss Arabella,10-11,A M Thomson,G Sheehan,-,4P-262,,31,5,,,   
14,Kelso,1,Just Don't Know,12-0,Paul Robson,Mr Callum Pritchard,118,416P-24,,48,10,,7, C  
14,Kelso,2,Rath An Iuir,11-8,Mrs R Dobbin,Mr Nick Orpwood,112,51538-8,,55,10,v1,3,  CD 
14,Kelso,3,Camp Belan,11-1,Miss Lucinda V Russell,Mr Gregor Walkingshaw,105,F35-443,,30,7,b1,7,  CD 
14,Kelso,4,Onestepatatime,10-10,J S Wainwright,Mr James King,100,126-414,,31,8,p,,D   bf
14,Kelso,5,Don Brocco,10-2,Graham & Rutherford,Miss Lucy Brown,92,P7-6863,,16,7,t p,7,   
14,Kelso,6,Gipsy Lee Rose (FR),10-2,N W Alexander,Mr Paddy Hanlon,92,238-531,,30,9,t v,7,  CD 
15,Southwell,1,Sienna Breeze,9-10,Mrs L Wadham,S H James,61,208-025,(1),22,5,p,,D   
15,Southwell,2,King Of York,9-10,S Dixon,Phil Dennis,61,494064,(9),7,4,p,,   
15,Southwell,3,Mr Strutter,9-9,D Thompson,Elle-May Croot,60,126201,(3),59,9,,7,D C  
15,Southwell,4,Lucky Protector,9-8,Ivan Furtado,T E Whelan,60,67230,(8),22,3,h,,   
15,Southwell,5,Back From Dubai,9-8,Kevin Frost,Lewis Edmunds,59,841960,(4),114,6,,,  CD 
15,Southwell,6,Captain Corelli,9-7,Miss J A Camacho,Ryan Sexton,58,8-08986,(7),45,6,,3,D   
15,Southwell,7,Al Suil Eile (FR),9-6,S A Harris,Laura Pearson,57,6-42465,(6),14,7,,, C  
15,Southwell,8,My Boy Benji,9-4,S England,T Eaves,56,0847,(12),131,3,,,   
15,Southwell,9,Revoquable,9-2,T D Easterby,D Allan,53,705102,(2),22,4,t,,  CD 
15,Southwell,10,Kodi Noir,9-1,Alice Haynes,K T O'Neill,53,432065,(5),14,3,h,,   
15,Southwell,11,Equiami,8-12,P J McBride,A J Farragher,50,096451,(11),22,3,,,  CD 
15,Southwell,12,Straitouttacompton,8-9,M C Chapman,Gina Mangan,46,970989,(10),150 (54J),7,t,3,D C  
16,Southwell,1,Amaysmont,9-10,Kevin Frost,D Nolan,61,409745,(3),20,6,,,D   bf
16,Southwell,2,Miss Britain,9-9,I W McInnes,Billy Garritty,60,870504,(4),20,4,,,  CD 
